"","Atl.chi.2","Atl.df","Atl.Pr.chi.2...","Atl.Pr.exact"
"J42",258.650410942409,325,0.997261522442916,0.742
"WF22",1005.91471819353,861,0.000435256137287898,0.009
"PAM27",319.907117661006,300,0.205405512872344,0.475
"PAM79",1139.55897397447,1035,0.0125601830928262,0.597
"WF16",377.328298748199,325,0.0239948392380986,0.643
"WF33",690.143099628241,666,0.250823190963114,0.051
"WF3",103.838383915731,171,0.99998786339135,0.531
"WF517",950.47969601038,903,0.132668530368323,0
"WF196",278.927089913145,300,0.803426874267156,0.235
"WF223",567.400637480183,561,0.416736769604155,0.011
"WF421",389.971929251162,351,0.0742743126128931,0.701
"A441",103.662127795481,120,0.856133832155239,0.115
"PAM21",149.955701508474,78,1.83072997816947e-06,0.01
"PSY087",53.758350513482,15,2.88266981918195e-06,0
"PSY022",397.242335003329,105,0,0.001
"WF12",768.603656518073,21,0,0.003
"WF32",388.573993339714,300,0.000422303475966723,0
